"Listing Number","Parcel ID","Short Address","Sold Price","SqFt - Living","Days On Market","SqFt - Total","List Price","Listing Date","Under Contract Date","Sold Date","Cancel Date","Expiration Date","Withdrawn Date","Temp Off Market Date","Subdivision","Under Contract Type","Statistical Listing Entry","Status","Status Change Date","Original List Price","Go Active Date","Expected Closing Date","Fallthrough Date"
"RX-10377010","73424407030000220","9003 Alexandra Circle","460000.00","2956.00","33","3746.00","475000.00","2017-10-27","2017-11-29","2018-01-30","","","","","OLYMPIA 1","","N","C","2018-01-31","475000.00","","",""
"RX-10378035","73424407030003040","2258 Stotesbury Way","835000.00","5677.00","35","6884.00","864800.00","2017-10-31","2017-12-05","2018-01-31","","","","","OLYMPIA","","N","C","2018-01-31","864800.00","","",""
"RX-10384228","73414410350000070","12083 Sunset Point Circle","320000.00","1412.00","47","1840.00","318900.00","2017-11-22","2018-01-08","2018-01-30","","","","","MONTAUK HARBOR","","N","C","2018-01-31","318900.00","","",""
"RX-10370953","73414407040000950","1676 S Club Drive","320000.00","2039.00","98","2572.00","345000.00","2017-10-06","2018-01-12","2018-01-31","","","","","LAKEFIELD OF THE LANDINGS AT WELLINGTON 1","","N","C","2018-02-01","350000.00","","",""
"RX-10371531","73424417080008280","8218 Rosalie Lane","429000.00","2200.00","21","2687.00","429995.00","2017-10-09","2017-10-30","2018-02-01","","","","","VILLAGEWALK","","N","C","2018-02-01","429995.00","","",""
"AX-10365026","73414403170020330","1161 Wild Cherry Lane","337500.00","1801.00","73","2637.00","358000.00","2017-10-27","2018-01-08","2018-01-30","","","","","EMERALD FOREST OF WELLING","","","C","2018-02-01","358000.00","","",""
"RX-10376199","73414424050003340","10592 Versailles Boulevard","1000000.00","6449.00","50","8102.00","1225000.00","2017-10-25","2017-12-14","2018-02-01","","","","","VERSAILLES","","N","C","2018-02-02","1295000.00","","",""
"AX-10389650","73414403080070120","12381 S Old Country Road S","370000.00","1720.00","13","2518.00","379900.00","2017-12-19","2018-01-01","2018-01-30","","","","","PINEWOOD EAST 2 OF WELLIN","","","C","2018-02-02","379900.00","","",""
"RX-10379681","00414425140000290","4410 James Estate Court","525000.00","4103.00","81","5715.00","575000.00","2017-11-05","2018-02-01","2018-02-02","","","","","WYCLIFFE","","N","C","2018-02-02","650000.00","","",""
"RX-10381309","73424408060001590","2055 Hermitage Drive","398000.00","2001.00","38","2687.00","415000.00","2017-11-11","2017-12-19","2018-02-01","","","","","VILLAGEWALK OF WELLINGTON 2","","N","C","2018-02-02","415000.00","","",""
"RX-10351228","73424407050011520","8684 Via Prestigio E","550000.00","3288.00","182","4019.00","559000.00","2017-07-17","2018-01-15","2018-02-01","","","","","BUENA VIDA","","N","C","2018-02-03","559000.00","","",""
"RX-10362501","00414425040000300","4774 Exeter Estate Lane","351000.00","3264.00","90","4014.00","399500.00","2017-08-26","2017-11-24","2018-01-31","","","","","EXETER ESTATES AT WYCLIFFE","","N","C","2018-02-03","445000.00","","",""
"RX-10305776","73414415180000260","12941 Mizner Way","2000000.00","5191.00","308","7061.00","2195000.00","2017-02-06","2018-01-22","2018-02-02","","","","","MIZNER ESTATES OF PALM BEACH POLO & COUN","","N","C","2018-02-05","2195000.00","","",""
"RX-10379753","73414409020210020","1690 Farmington Circle","469500.00","2864.00","77","3326.00","519900.00","2017-11-05","2018-01-21","2018-02-06","","","","","GREENVIEW SHORES 2 OF WELLINGTON","","N","C","2018-02-06","539900.00","","",""
"RX-10430484","73414413080001920","3574 Florence Street","365500.00","1524.00","102","2107.00","362500.00","2018-05-09","2018-08-19","2018-10-03","","","","","Castellina","","N","C","2018-10-04","362500.00","","",""
"RX-10408036","73424417030002490","8022 Jolly Harbour Court","410000.00","1997.00","167","2687.00","427500.00","2018-02-22","2018-08-08","2018-10-04","","","","","VILLAGEWALK OF WELLINGTON","","N","C","2018-10-04","450000.00","","",""
"RX-10441152","73414404010740440","1901 Primrose Lane","480000.00","2156.00","72","2932.00","485000.00","2018-06-19","2018-09-03","2018-10-04","","","","","SUGAR POND MANOR OF WELLINGTON","","N","C","2018-10-05","485000.00","","",""
"RX-10341168","73414419010040110","15262 Natures Point Lane","2000000.00","2853.00","91","4947.00","2585000.00","2017-06-08","2018-01-05","2018-01-31","","","","","PALM BEACH POINT","","N","C","2018-02-07","2585000.00","","",""
"RX-10391768","73424417020013700","2732 Eleanor Way","585000.00","3963.00","14","5334.00","590000.00","2017-12-26","2018-01-09","2018-02-07","","","","","OLYMPIA","","N","C","2018-02-07","590000.00","","",""
"RX-10388793","73414410010020110","12861 Guilford Circle","445000.00","2564.00","12","3890.00","445000.00","2017-12-11","2017-12-23","2018-02-08","","","","","SOUTH SHORE 1 OF WELLINGTON","","N","C","2018-02-08","445000.00","","",""
"RX-10373836","73414409010150110","1384 Brampton Cove","505000.00","2712.00","83","3897.00","515000.00","2017-10-17","2018-01-08","2018-02-08","","","","","GREENVIEW SHORES 1 OF WELLINGTON","","N","C","2018-02-09","540000.00","","",""
"RX-10385238","73424417080009630","3155 Ushant Court","435000.00","2499.00","56","3366.00","444900.00","2017-11-28","2018-01-23","2018-02-09","","","","","VILLAGEWALK WELLINGTON PL 05","","N","C","2018-02-09","484900.00","","",""
"RX-10389156","73414404010040220","693 Blueberry Drive","375000.00","2283.00","4","3118.00","389000.00","2017-12-13","2017-12-17","2018-02-08","","","","","SUGAR POND MANOR OF WELLINGTON","","N","C","2018-02-09","389000.00","","",""
"AX-10388001","73414403080070230","735 Windtree Way","462500.00","2702.00","46","3739.00","479000.00","2017-12-14","2018-01-29","2018-02-05","","","","","PINEWOOD EAST 2 OF WELLIN","","","C","2018-02-09","479000.00","","",""
"RX-10387212","73414423070000460","3690 Old Lighthouse Circle","365000.00","1992.00","21","2500.00","379999.00","2017-12-05","2017-12-26","2018-02-09","","","","","Grand Isles","","N","C","2018-02-11","379999.00","","",""
"RX-10383143","73414411050050160","1473 Spanish Oak Way","420000.00","2433.00","65","3433.00","425000.00","2017-11-17","2018-01-21","2018-02-09","","","","","EASTWOOD OF WELLINGTON 3","","N","C","2018-02-11","440000.00","","",""
"FX-10079636","73414410290000400","12625 White Coral Drive","305000.00","1942.00","137","2706.00","334788.00","2017-08-01","2017-12-16","2018-01-31","","","","","Wellingto Tr 43 PUD","","","C","2018-02-12","334788.00","","",""
"RX-10364285","73414404010510080","14080 Aster Avenue","410000.00","2273.00","23","3047.00","409990.00","2017-09-01","2017-09-26","2018-02-12","","","","","SUGAR POND MANOR OF WELLINGTON","","N","C","2018-02-12","409990.00","","",""
"RX-10321978","73424417060019460","9072 Dupont Place","395000.00","2800.00","184","3021.00","405900.00","2017-04-02","2017-10-03","2018-01-22","","","","","OLYMPIA","","N","C","2018-02-12","434900.00","","",""
"RX-10365046","73424417080009110","8241 Tobago Lane","400000.00","1997.00","60","2687.00","405000.00","2017-09-06","2017-11-05","2018-02-13","","","","","VILLAGEWALK OF WELLINGTON 5","","N","C","2018-02-13","419000.00","","",""
"RX-10388825","73414403100000110","12266 Sawgrass Court","355000.00","2330.00","24","3235.00","356000.00","2017-12-11","2018-01-04","2018-02-14","","","","","Avondale","","N","C","2018-02-14","356000.00","","",""
"RX-10382657","73414414240000250","2376 Golf Brook Drive","1750000.00","3900.00","41","5577.00","1849999.00","2017-11-15","2017-12-26","2018-02-14","","","","","Brookside 2","","N","C","2018-02-14","1849999.00","","",""
"RX-10370830","73414424050004270","10699 Versailles Boulevard","690000.00","5043.00","103","6302.00","729900.00","2017-10-05","2018-01-16","2018-02-15","","","","","VERSAILLES","","N","C","2018-02-16","749900.00","","",""
"RX-10403962","73414418010150060","15755 Chandelle Place","850000.00","2565.00","0","4183.00","850000.00","2018-02-08","2018-02-08","2018-02-16","","","","","WELLINGTON AERO CLUB OF THE LANDINGS AT WELLINGTON","","N","C","2018-02-16","850000.00","","",""
"RX-10392559","73414426020000220","4481 Wellington Shores Drive","575000.00","2980.00","7","3943.00","569900.00","2018-01-02","2018-01-09","2018-02-15","","","","","WELLINGTON SHORES","","N","C","2018-02-16","569900.00","","",""
"RX-10337522","73414401040070240","1191 Bay View Way","410000.00","2698.00","28","3389.00","429900.00","2017-05-25","2018-01-02","2018-02-16","","","","","Black Diamond","","N","C","2018-02-16","429900.00","","",""
"RX-10331538","73414406020000150","17236 Gulf Pine Circle","615000.00","3492.00","215","4902.00","649000.00","2017-05-04","2017-12-05","2018-02-16","","","","","BINKS FOREST OF THE LANDINGS AT WELLINGTON","","N","C","2018-02-16","839000.00","","",""
"RX-10358633","00424419090000330","3517 Lago De Talavera","585000.00","3478.00","98","4528.00","599900.00","2017-08-13","2017-12-18","2018-02-16","","","","","TALAVERA","","N","C","2018-02-18","595000.00","","",""
"RX-10386317","73414403090130320","12666 Headwater Circle","465000.00","2767.00","75","3751.00","465000.00","2017-12-01","2018-02-14","2018-02-14","","","","","ISLAND OF WELLINGTON","","N","C","2018-02-19","465000.00","","",""
"RX-10390289","0041 4425 11 000 0300","4441 Kensington Park Way","200000.00","2212.00","32","3017.00","175000.00","2017-12-18","2018-01-19","2018-02-16","","","","","Wycliffe - Kensington","","N","C","2018-02-21","175000.00","","",""
"RX-10373216","00414425120000540","10777 Fairmont Village Drive","204000.00","2595.00","86","3340.00","234000.00","2017-10-14","2018-01-08","2018-02-15","","","","","Wycliffe Golf and Country Club","","N","C","2018-02-21","234000.00","","",""
"RX-10339676","00414425210000190","4082 Manchester Lake Drive","351000.00","2967.00","216","3785.00","389000.00","2017-06-03","2018-01-05","2018-02-16","","","","","WYCLIFFE - Manchester Green","","N","C","2018-02-21","425000.00","","",""
"RX-10391186","73414410010260180","1340 Mystic Way","339000.00","1417.00","12","2215.00","339000.00","2017-12-21","2018-01-02","2018-02-20","","","","","SOUTH SHORE 1 OF WELLINGTON","","N","C","2018-02-22","339000.00","","",""
"RX-10394768","73424417020008470","2788 Shaughnessy Drive","435000.00","2994.00","0","4630.00","449900.00","2018-01-09","2018-01-09","2018-02-15","","","","","OLYMPIA 2","","N","C","2018-02-22","449900.00","","",""
"RX-10305018","73414424060010040","3254 Watercress Court","498000.00","3039.00","334","3805.00","524900.00","2017-02-03","2018-01-03","2018-02-22","","","","","OAKMONT ESTATES PUD","","N","C","2018-02-22","550000.00","","",""
"RX-10395650","72414401010060130","229 Kensington Way","390000.00","3032.00","17","3870.00","399900.00","2018-01-11","2018-01-28","2018-02-22","","","","","ANTHONY GROVES VICTORIA GROVES","","N","C","2018-02-22","399900.00","","",""
"RX-10350383","73414331030000360","15822 Bent Creek Road","450000.00","2685.00","161","3741.00","485000.00","2017-07-13","2018-01-23","2018-02-20","","","","","BINKS FOREST OF THE LANDINGS AT WELLINGTON 3","","N","C","2018-02-23","499000.00","","",""
