"Listing Number","Parcel ID","Short Address","Sold Price","SqFt - Living","Days On Market","SqFt - Total","List Price","Listing Date","Under Contract Date","Sold Date","Cancel Date","Expiration Date","Withdrawn Date","Temp Off Market Date","Subdivision","Under Contract Type","Statistical Listing Entry","Status","Status Change Date","Original List Price","Go Active Date","Expected Closing Date","Fallthrough Date"
"RX-10676790","73424417080006910","8294 Pine Cay Road","469000.00","2001.00","5","2687.00","469000.00","2020-12-04","2020-12-09","2021-02-01","","","","","VILLAGEWALK OF WELLINGTON 5","","N","C","2021-03-25","469000.00","","",""
"RX-10694557","73414415230000310","3157 Blue Cypress Lane","2990000.00","3635.00","15","5168.00","3250000.00","2021-02-23","2021-03-10","2021-03-29","","","","","Blue Cypress","","N","C","2021-03-29","3250000.00","","",""
"RX-10674219","73414403100000150","12298 Sawgrass Court","445000.00","1816.00","27","2690.00","447000.00","2020-11-25","2020-12-22","2021-03-15","","","","","PINEWOOD EAST 2 OF WELLINGTON","","N","C","2021-03-29","455000.00","","",""
"RX-10678237","73414414470000130","12190 Sunnydale Drive","1550000.00","3334.00","64","4208.00","1675000.00","2020-12-14","2021-02-16","2021-03-30","","","","","HUNTERS CHASE OF PALM BEACH POLO & COUNT","","N","C","2021-03-31","1675000.00","","",""
"RX-10551646","73414417010530020","14829 Rolling Rock Place","2275000.00","4968.00","528","5794.00","2400000.00","2019-08-03","2021-01-12","2021-03-26","","","","","SADDLE TRAIL PARK OF WELLINGTON","","N","C","2021-03-29","2700000.00","","",""
"RX-10668830","73414426040000600","11836 Osprey Point Circle","725000.00","4293.00","98","5714.00","750000.00","2020-11-05","2021-02-11","2021-03-23","","","","","ISLES AT WELLINGTON","","N","C","2021-03-31","750000.00","","",""
"RX-10672320","73414401040060630","10681 Old Hammock Way","467500.00","3130.00","35","4089.00","475000.00","2020-11-18","2020-12-23","2021-01-14","","","","","BLACK DIAMOND","","N","C","2021-01-23","475000.00","","",""
"RX-10612880","73414403030010470","12072 Old Country Road S","410000.00","2122.00","3","2920.00","398500.00","2020-03-27","2020-03-30","2020-04-24","","","","","PINEWOOD EAST 2 OF WELLINGTON","","N","C","2020-04-25","398500.00","","",""
"RX-10698919","73414426010000900","4145 Bluff Harbor Way","435000.00","1904.00","5","2565.00","439999.00","2021-03-11","2021-03-16","2021-05-07","","","","","ISLES AT WELLINGTON 1","","N","C","2021-05-14","439999.00","","",""
"RX-10706922","73414426050000190","11679 Sunrise View Lane","940000.00","4683.00","17","5965.00","949777.00","2021-04-09","2021-04-26","2021-06-03","","","","","ISLES AT WELLINGTON 4","","N","C","2021-06-04","949999.00","","2021-06-03",""
"RX-10680415","73424417060018920","9180 Dupont Place","415000.00","1938.00","14","2544.00","419900.00","2020-12-26","2021-01-09","2021-03-31","","","","","OLYMPIA 2","","N","C","2021-03-31","419900.00","","",""
"RX-10655623","73414414370000150","2950 Bent Cypress Road","1150000.00","3118.00","168","4131.00","1199000.00","2020-09-15","2021-03-08","2021-04-16","","","","","BENT CYPRESS","","N","C","2021-04-19","1265000.00","2020-09-21","2021-04-23",""
"RX-10626186","73414426070000110","11132 Manderly Lane","565500.00","3280.00","9","4467.00","579900.00","2020-05-29","2020-06-07","2020-07-29","","","","","Isles At Welington","","N","C","2020-07-29","579900.00","","",""
"RX-10666529","73414409020080070","13739 Chatsworth Village Drive","485000.00","2520.00","24","3152.00","489900.00","2020-10-27","2020-11-23","2020-12-24","","","","","GREENVIEW SHORES 2 OF WELLINGTON","","N","C","2020-12-28","500000.00","2020-10-30","",""
"RX-10656272","73414414060000150","11685 Maidstone Drive","1170000.00","4621.00","36","5424.00","1340000.00","2020-09-18","2020-10-24","2020-12-09","","","","","MAIDSTONE","","N","C","2020-12-25","1340000.00","","",""
"RX-10690595","73414409050001030","12981 Blue Lake Drive","385000.00","1594.00","16","2034.00","400000.00","2021-02-06","2021-02-22","2021-04-19","","","","","MEADOWLAND COVE 2 OF WELLINGTON","","N","C","2021-04-20","400000.00","","",""
"RX-10688102","73424417050004080","8220 Nevis Place","439000.00","2001.00","10","2687.00","439000.00","2021-01-28","2021-02-12","2021-03-19","","","","","VILLAGEWALK","","N","C","2021-03-29","439000.00","2021-02-02","",""
"RX-10693617","73414413080000370","4255 Siena Circle","750000.00","3140.00","40","4186.00","789900.00","2021-02-19","2021-03-31","2021-03-31","","","","","CASTELLINA","","N","C","2021-03-31","789900.00","","",""
"RX-10685408","00424408010010090","8822 Estate Drive","807000.00","4647.00","26","6431.00","980000.00","2021-01-17","2021-02-12","2021-02-19","","","","","BANYAN ESTATES","","N","C","2021-03-30","980000.00","","",""
"RX-10655077","73414427000007030","4827 125th Avenue S","11000000.00","2996.00","324","11930.00","11750000.00","2020-09-14","2021-08-04","2021-10-08","","","","","Palm Glade Ranches Unrec","","N","C","2021-10-08","12950000.00","","2021-10-01",""
"RX-10663587","73424407050010850","8837 Via Brilliante","565000.00","3184.00","116","3854.00","599000.00","2020-10-15","2021-02-08","2021-04-01","","","","","BUENA VIDA","","N","C","2021-04-01","649000.00","","",""
"FX-10273545","73414404010520130","935 Meadow Avenue","500000.00","2336.00","1","","500000.00","2021-03-02","2021-03-03","2021-04-09","","","","","Sugar Pond Manor Wellingt","","","C","2021-04-14","500000.00","","2021-04-09",""
"RX-10667626","73414415080000370","12527 Mallet Circle","545000.00","2190.00","41","2992.00","595000.00","2020-10-26","2021-02-18","2021-02-26","","","","","CHUKKER COVE P B POLO & CNTRY CLUB WELL","","N","C","2021-02-26","595000.00","","",""
"RX-10649284","73424407030003250","2223 Stotesbury Way","861000.00","4830.00","51","5656.00","939000.00","2020-08-24","2020-10-14","2020-10-15","","","","","OLYMPIA 1","","N","C","2020-10-15","939000.00","","",""
"RX-10651791","73414415040000230","2454 Muir Circle","695000.00","1989.00","20","2550.00","705000.00","2020-09-02","2020-09-22","2020-11-09","","","","","MUIRFIELD 4","","N","C","2020-11-12","705000.00","","",""
"RX-10683318","73414414380000240","2921 Twin Oaks Way","645000.00","1995.00","1","2910.00","689000.00","2021-01-09","2021-01-10","2021-01-10","","","","","SHADY OAKS OF PALM BEACH POLO & COUNTRY","","N","C","2021-01-10","689000.00","","",""
"AX-10863168","73424407030000220","9003 Alexandra Circle","477000.00","","32","","489888.00","2020-05-23","2020-06-24","2020-07-29","","","","","Olympia","","","C","2020-07-29","489888.00","","",""
"RX-10631674","73414411050010290","1009 Summerwood Circle","367500.00","1653.00","3","2360.00","379000.00","2020-06-17","2020-06-21","2020-07-24","","","","","EASTWOOD OF WELLINGTON 3","","N","C","2020-07-29","379000.00","2020-06-18","",""
"RX-10473977","73414409020220090","1727 Farmington Circle","425000.00","2368.00","32","3098.00","445000.00","2018-10-19","2018-11-20","2019-01-31","","","","","GREENVIEW SHORES 2 OF WELLINGTON","","N","C","2019-02-05","445000.00","","",""
"RX-10368677","73424407030001310","9075 Alexandra Circle","435000.00","2986.00","167","3448.00","459900.00","2017-09-28","2018-03-14","2018-05-18","","","","","Olympia Ph 01","","N","C","2018-05-21","484900.00","","",""
"RX-10413421","73414409020100030","13690 Staimford Drive","418000.00","2178.00","38","3014.00","434900.00","2018-03-12","2018-04-19","2018-04-19","","","","","GREENVIEW SHORES 2 OF WELLINGTON","","N","C","2018-05-21","439900.00","","",""
"RX-10406300","73414424060020710","3460 Princeton Drive","425000.00","2674.00","37","3298.00","430000.00","2018-02-15","2018-03-24","2018-05-21","","","","","OAKMONT ESTATES PUD","","N","C","2018-05-21","430000.00","","",""
"RX-10406215","73414412040000180","1612 Oak Berry Circle","290000.00","1822.00","53","2486.00","300000.00","2018-02-15","2018-04-18","2018-05-21","","","","","WELLINGTONS EDGE","","N","C","2018-05-21","315000.00","","",""
"RX-10560541","73414407060000930","15860 Lisbon Court","365000.00","1887.00","7","2571.00","375000.00","2019-09-11","2019-09-18","2019-11-22","","","","","LAKEFIELD OF THE LANDINGS - WEST","","N","C","2019-11-23","375000.00","","",""
"RX-10551931","73414404150000320","581 Kingsbury Court","515000.00","2852.00","52","3700.00","519900.00","2019-08-05","2019-09-26","2019-11-15","","","","","BARRINGTON WOODS OF WELLINGTON","","N","C","2019-11-24","525000.00","","",""
"RX-10656598","73424417060018450","9103 Dupont Place","390000.00","2822.00","10","3354.00","375000.00","2020-09-19","2020-09-29","2020-12-14","","","","","Bryden Village at Olympia","","N","C","2020-12-22","375000.00","","",""
"AX-10999187","73414407050000810","1953 S Club Drive","726000.00","3012.00","19","3974.00","730000.00","2021-02-17","2021-03-08","2021-03-25","","","","","LAKEFIELD OF THE LANDINGS","","","C","2021-03-25","725000.00","","",""
"RX-10663523","73414410010250120","1197 Mystic Way","410000.00","1987.00","6","2791.00","410000.00","2020-10-14","2020-10-20","2020-12-01","","","","","SOUTH SHORE 1 OF WELLINGTON","","N","C","2021-01-01","410000.00","","",""
"RX-10385991","73424417020010240","3090 Payson Way","500000.00","2866.00","5","3463.00","517000.00","2017-12-01","2017-12-06","2018-01-05","","","","","OLYMPIA 2","","N","C","2018-01-06","517000.00","","",""
"RX-10328631","73414408010510010","14439 Draft Horse Lane","2000000.00","5349.00","226","11642.00","2250000.00","2017-04-25","2017-12-23","2018-01-05","","","","","PADDOCK PARK 2 OF WELLINGTON","","N","C","2018-01-06","2650000.00","","",""
"RX-10363327","73414406020000440","814 Forest Glen Lane","630000.00","3122.00","90","4577.00","649000.00","2017-08-30","2017-11-28","2018-01-05","","","","","Binks Forest","","N","C","2018-01-06","655000.00","","",""
"RX-10388043","73414403080070550","12274 Sannenwood Lane","398000.00","2300.00","5","2798.00","409900.00","2017-12-07","2017-12-12","2018-01-08","","","","","PINEWOOD EAST 2 OF WELLINGTON","","N","C","2018-01-08","409900.00","","",""
"RX-10369248","00424419090000020","3269 Lago De Talavera","600000.00","3895.00","65","4942.00","610000.00","2017-10-02","2017-12-06","2018-01-08","","","","","TALAVERA","","N","C","2018-01-08","625000.00","","",""
"RX-10327616","00414425160000230","4526 Hazleton Lane","260018.00","2606.00","197","3424.00","309000.00","2017-04-20","2017-11-03","2018-01-08","","","","","Wycliffe - Huntington","","N","C","2018-01-08","309000.00","","",""
"FX-10059895","73414411030020120","1343 Pinetta","310000.00","1981.00","231","2028.00","325000.00","2017-03-27","2017-11-13","2018-01-09","","","","","Eastwood 02 Wellington","","","C","2018-01-09","345000.00","","",""
"FX-10086131","73414423100000430","11156 Winding Pearl Way","430000.00","2595.00","78","3394.00","448900.00","2017-09-28","2017-12-15","2018-01-08","","","","","Orange Point Repl 01","","","C","2018-01-10","469900.00","","",""
"RX-10387335","73414409020680140","2748 Yarmouth Drive","395000.00","2192.00","22","3001.00","407500.00","2017-12-06","2017-12-28","2018-01-10","","","","","GREENVIEW SHORES 2 OF WELLINGTON","","N","C","2018-01-10","425000.00","","",""
"RX-10323374","00414424040000490","10874 Northgreen Drive","330000.00","2961.00","256","3771.00","350000.00","2017-04-04","2017-12-16","2018-01-12","","","","","WYCLIFFE","","N","C","2018-01-12","495000.00","","",""
"RX-10360243","73424417070006470","8104 Kaliko Lane","500000.00","2502.00","89","3366.00","520000.00","2017-08-18","2017-11-15","2018-01-12","","","","","VILLAGEWALK OF WELLINGTON 3B","","N","C","2018-01-13","520000.00","","",""
"FX-10086315","73424407030000370","8965 Alexandra Circle","410000.00","2757.00","64","2757.00","424888.00","2017-10-18","2017-12-21","2018-01-12","","","","","Olympia Ph 01","","","C","2018-01-14","424888.00","","",""
"RX-10371760","73414407040001080","1808 S Club Drive","315000.00","2039.00","59","2572.00","330000.00","2017-10-09","2017-12-12","2018-01-12","","","","","LAKEFIELD OF THE LANDINGS AT WELLINGTON 1","","N","C","2018-01-15","330000.00","","",""
"RX-10390058","73414409020410160","2344 Seaford Drive","295000.00","2035.00","2","2905.00","315000.00","2017-12-18","2017-12-20","2018-01-15","","","","","GREENVIEW SHORES 2 OF WELLINGTON","","N","C","2018-01-15","315000.00","","",""
"RX-10387520","73414411010350220","1251 Wyndcliff Drive","316900.00","1672.00","3","2448.00","319900.00","2017-12-06","2017-12-09","2018-01-16","","","","","South Shore","","N","C","2018-01-16","319900.00","","",""
"RX-10386591","73414404010250190","13932 Columbine Avenue","425000.00","2748.00","33","3680.00","449000.00","2017-12-03","2018-01-05","2018-01-17","","","","","SUGAR POND MANOR OF WELLINGTON","","N","C","2018-01-17","449000.00","","",""
"RX-10270380","73414402020000030","833 Cindy Drive","1000000.00","3770.00","224","4439.00","1050000.00","2016-09-24","2018-01-11","2018-01-19","","","","","Palm Beach Little Ranches","","N","C","2018-01-19","1250000.00","","",""
"RX-10381394","73414410260002270","1721 Shoreside Circle","320000.00","1997.00","47","2481.00","324900.00","2017-11-11","2017-12-28","2018-01-18","","","","","WELLINGTON TR 42B","","N","C","2018-01-19","324900.00","","",""
"RX-10362760","73424417060017980","9197 Dupont Place","393000.00","2888.00","92","3512.00","384900.00","2017-08-28","2017-11-28","2018-01-19","","","","","Olympia","","N","C","2018-01-20","419900.00","","",""
"RX-10380491","73414331020000600","15181 Oak Chase Court","341000.00","1692.00","39","2360.00","349900.00","2017-11-08","2017-12-22","2018-01-18","","","","","Binks Forest Of The Landings At Wellington 4","","N","C","2018-01-22","349900.00","","",""
"RX-10380465","73414412060000860","1544 Carriage Brooke Drive","288000.00","1325.00","6","1865.00","294900.00","2017-11-07","2017-11-13","2018-01-12","","","","","Wellington Edge","","N","C","2018-01-22","294900.00","","",""
"RX-10365744","73414426050000980","11441 Manatee Bay Lane","560000.00","4177.00","58","5549.00","580000.00","2017-09-13","2017-12-05","2018-01-19","","","","","ISLES AT WELLINGTON 4","","N","C","2018-01-22","585000.00","","",""
"RX-10389679","73414424050003700","10569 Versailles Boulevard","659000.00","5043.00","0","6300.00","699900.00","2017-12-15","2017-12-15","2018-01-22","","","","","VERSAILLES","","N","C","2018-01-22","699900.00","","",""
"FX-10093613","73424407050010690","8890 Via Brilliante","367500.00","2803.00","32","3559.00","480000.00","2017-11-09","2017-12-11","2018-01-16","","","","","Buena Vida","","","C","2018-01-22","480000.00","","",""
"FX-10099139","73414401040060080","10620 Old Hammock Way","346500.00","3065.00","22","3645.00","385000.00","2017-12-13","2018-01-04","2018-01-19","","","","","Black Diamond Ph 02","","","C","2018-01-22","385000.00","","",""
"RX-10371261","73414411010300530","1657 Baltrusol Place","270000.00","1770.00","53","2656.00","279500.00","2017-10-06","2017-11-28","2018-01-22","","","","","SOUTH SHORE 2 OF WELLINGTON","","N","C","2018-01-23","293900.00","","",""
"RX-10392980","73414422010000180","12529 Equine Lane","795000.00","3571.00","5","4826.00","815000.00","2018-01-03","2018-01-08","2018-01-23","","","","","EQUESTRIAN CLUB","","N","C","2018-01-24","815000.00","","",""
"RX-10352524","73414407060000610","1660 Corsica Drive","480000.00","2124.00","185","2888.00","550000.00","2017-07-21","2018-01-22","2018-01-24","","","","","LAKEFIELD OF THE LANDINGS AT WELLINGTON 3B","","N","C","2018-01-24","550000.00","","",""
"RX-10268878","73414429010000130","14190 Palm Beach Point Boulevard","3500000.00","4876.00","486","4876.00","3750000.00","2016-09-20","2018-01-19","2018-01-19","","","","","PALM BEACH POINT EAST","","N","C","2018-01-24","3950000.00","","",""
"RX-10386432","73414412050000140","1700 Carriage Brooke Drive","308500.00","1468.00","19","1982.00","319900.00","2017-12-02","2017-12-21","2018-01-24","","","","","WELLINGTONS EDGE PAR 77 PH 1","","N","C","2018-01-24","329900.00","","",""
"RX-10370536","73414410350000190","12155 Sunset Point Circle","330000.00","1562.00","82","2079.00","339000.00","2017-10-02","2017-12-23","2018-01-24","","","","","MONTAUK HARBOR","","N","C","2018-01-26","350000.00","","",""
"RX-10289612","73414420070000320","14169 Calypso Lane","995000.00","2605.00","404","2950.00","1100000.00","2016-12-07","2018-01-15","2018-01-26","","","","","EQUESTRIAN CLUB ESTATES 3","","N","C","2018-01-26","1400000.00","","",""
"RX-10326637","73424417020017440","2633 Cooper Way","585000.00","2976.00","142","3794.00","635000.00","2017-04-18","2017-12-08","2018-01-18","","","","","OLYMPIA","","N","C","2018-01-29","648000.00","","",""
"RX-10386804","73414409020180350","1612 Farmington Avenue","400000.00","1807.00","6","2470.00","419000.00","2017-12-04","2017-12-10","2018-01-26","","","","","FARMINGTON  GREENVIEW SHORES II","","N","C","2018-01-29","419000.00","","",""
"RX-10348681","73414416110000690","2477 Stonegate Drive","375000.00","2181.00","187","2926.00","389000.00","2017-07-07","2018-01-10","2018-01-30","","","","","STONEGATE OF WELLINGTON","","N","C","2018-01-30","424500.00","","",""
"RX-10359456","73414407060000600","1650 Corsica Drive","519000.00","2608.00","96","3498.00","534900.00","2017-08-14","2017-11-18","2018-01-30","","","","","LAKEFIELD WEST of the Landings","","N","C","2018-01-31","534900.00","","",""
"RX-10394727","73414415080000220","12510 Mallet Circle","895000.00","2418.00","0","3122.00","895000.00","2018-01-09","2018-01-09","2018-01-31","","","","","CHUKKER COVE P B POLO & CNTRY CLUB WELL","","N","C","2018-01-31","895000.00","","",""
