"Listing Number","Parcel ID","Short Address","Sold Price","SqFt - Living","Days On Market","SqFt - Total","List Price","Listing Date","Under Contract Date","Sold Date","Cancel Date","Expiration Date","Withdrawn Date","Temp Off Market Date","Subdivision","Under Contract Type","Statistical Listing Entry","Status","Status Change Date","Original List Price","Go Active Date","Expected Closing Date","Fallthrough Date"
"RX-10901708","73424407030001650","2154 Balsan Way","","3027.00","17","3992.00","729000.00","2023-07-04","","","","","","","OLYMPIA 1","","","A","2023-07-04","729000.00","","",""
"FX-10389220","73414411030040260","1116 Jackpine Street","","2818.00","11","3642.00","799995.00","2023-07-10","","","","","","","Eastwood 02 Wellington","","N","A","2023-07-11","850000.00","","",""
"RX-10878168","73414426040000600","11836 Osprey Point Circle","","4293.00","113","5714.00","1500000.00","2023-03-30","","","","","","","Marina Bay Estates","","N","A","2023-03-31","1500000.00","","",""
"RX-10904323","73414416120000230","2649 Fairway Cove Court","","1481.00","7","1959.00","607000.00","2023-07-14","","","","","","","FAIRWAY COVE OF WELLINGTON","","","A","2023-07-14","607000.00","","",""
"RX-10836995","73414419010070060","15564 Palma Lane","","4016.00","287","5499.00","8100000.00","2022-10-07","","","","","","","PALM BEACH POINT","","N","A","2022-10-07","8150000.00","","",""
"RX-10856795","73414415210000290","2515 Cypress Island Court","","7435.00","193","11270.00","11750000.00","2023-01-09","","","","","","","CYPRESS ISLAND OF PALM BEACH POLO & COUN","","N","A","2023-01-09","11750000.00","","",""
"RX-10855136","73414410320000400","12230 Dartmoor Drive","","1259.00","195","1811.00","410000.00","2023-01-02","","","","","","","WELLINGTON DOWNS","","N","A","2023-06-13","450000.00","","","2023-06-13"
"AX-11278943","73414434050000040","5141 Lasso Way","","3396.00","295","20765.00","15900000.00","2022-09-29","","","","","","","WELLINGTON PRESERVE REPLA","","N","A","2022-09-29","16000000.00","","",""
"RX-10885477","73414410350000560","12115 Sunset Point Drive","","1562.00","52","2079.00","455000.00","2023-04-28","","","","","","","MONTAUK HARBOR","","N","A","2023-07-01","489900.00","","","2023-06-22"
"RX-10886322","73414411050070500","1408 Old Cypress Trail","","2076.00","60","2981.00","630000.00","2023-05-02","","","","","","","EASTWOOD OF WELLINGTON 3","","N","A","2023-07-02","670000.00","","","2023-05-22"
"RX-10902949","73414403170020260","1236 Columbine Place","","2212.00","12","2844.00","789000.00","2023-07-09","","","","","","","EMERALD FOREST OF WELLINGTON","","","A","2023-07-09","789000.00","","",""
"RX-10883027","73414415070000180","2578 Players Court","","3427.00","93","4117.00","1795000.00","2023-04-19","","","","","","","EAGLES LANDING OF P B POLO AND COUNTRY CLUB","","N","A","2023-04-19","1795000.00","","",""
"RX-10858762","73414409030000090","2351 Newbury Drive","","3681.00","185","5266.00","1790000.00","2023-01-17","","","","","","","POLO WEST ESTATES","","N","A","2023-01-17","1790000.00","","",""
"RX-10836997","73414419010060050","15691 Sunnyland Lane","","4784.00","287","8088.00","8300000.00","2022-10-07","","","","","","","PALM BEACH POINT","","N","A","2022-10-07","8300000.00","","",""
"RX-10893011","73414424050000900","3428 Collonade Drive","","4590.00","55","4590.00","1249000.00","2023-05-27","","","","","","","VERSAILLES","","","A","2023-05-27","1301000.00","","",""
"RX-10863397","73414427000007050","4723 125th Avenue S","","1900.00","171","3400.00","18975000.00","2023-01-31","","","","","","","Palm Glade Ranches Unrec","","N","A","2023-02-03","18975000.00","","",""
"FX-10383138","73414418010150020","15595 Chandelle Place","","3707.00","50","","3195000.00","2023-06-01","","","","","","","Wellington Aero Club Land","","N","A","2023-06-06","3195000.00","","",""
"RX-10863150","73414332030120040","109 Tanbark Trail","","4010.00","169","5711.00","1999000.00","2023-02-02","","","","","","","PADDOCK PARK 1 OF WELLINGTON","","N","A","2023-02-02","2100000.00","","",""
"RX-10884898","00414424010000670","10730 Paso Fino Drive","","2477.00","87","3182.00","775000.00","2023-04-25","","","","","","","WHITEHORSE ESTATES","","N","A","2023-04-27","870000.00","","",""
"RX-10901387","73424407050023790","9748 Via Grandezza W","","2803.00","20","3559.00","728000.00","2023-07-01","","","","","","","BUENA VIDA","","","A","2023-07-01","728000.00","","",""
"FX-10389482","73414332030240040","427 Squire Drive","","3816.00","8","","1350000.00","2023-07-13","","","","","","","Paddock Park","","N","A","2023-07-13","1350000.00","","",""
"RX-10847188","73414415020000090","12093 Longwood Green Drive","","4040.00","243","4524.00","2950000.00","2022-11-20","","","","","","","LONGWOOD GREEN WEST OF PLM BCH POLO & CTRY CLUBWELLINGTON","","N","A","2022-11-20","3150000.00","","",""
"RX-10886517","73414402010030350","583 Rambling Drive Circle","","1404.00","80","2420.00","1280000.00","2023-05-02","","","","","","","PALM BEACH LITTLE RANCHES 2","","N","A","2023-07-03","1280000.00","","",""
"RX-10872785","73414420060000160","14364 Stroller Way","","3034.00","133","4040.00","2950000.00","2023-03-10","","","","","","","EQUESTRIAN CLUB ESTATES 2","","N","A","2023-03-10","2950000.00","","",""
"RX-10873787","73424407030001700","2174 Balsan Way","","3662.00","57","4353.00","719995.00","2023-03-14","","","","","","","Olympia (Easton)","","N","A","2023-07-03","724995.00","2023-03-17","","2023-07-03"
"RX-10789175","73414418010180060","15945 Weatherly Road","","8300.00","473","13409.00","10995000.00","2022-04-04","","","","","","","WELLINGTON AERO CLUB OF THE LANDINGS AT WELLINGTON","","N","A","2022-04-04","9995000.00","","",""
"AX-11376647","73414403080080140","12277 S Old Country Road S","","2071.00","111","2645.00","559900.00","2023-04-01","","","","","","","PINEWOOD EAST 2 OF WELLIN","","N","A","2023-07-06","599900.00","","",""
"RX-10893778","73424417020010550","9552 Phipps Lane","","2866.00","51","3463.00","834900.00","2023-05-30","","","","","","","OLYMPIA","","","A","2023-05-31","849900.00","2023-05-31","",""
"RX-10885262","73424407050022950","9150 Via Elegante","","2364.00","67","3036.00","649900.00","2023-04-28","","","","","","","BUENA VIDA","","N","A","2023-07-12","665000.00","","","2023-07-12"
"RX-10869041","73414416110000620","2365 Stonegate Drive","","2988.00","141","3811.00","950000.00","2023-02-25","","","","","","","Stonegate of Wellington","","N","A","2023-03-02","1150000.00","2023-03-02","",""
"RX-10884265","73414406030002300","15683 Cypress Park Drive","","2665.00","91","3707.00","849000.00","2023-04-21","","","","","","","BINKS FOREST OF THE LANDINGS AT WELLINGTON 3","","N","A","2023-04-24","987000.00","","",""
"RX-10889000","73414409010090060","1227 Reading Terrace","","2667.00","50","3157.00","785000.00","2023-05-11","","","","","","","GREENVIEW SHORES 1 OF WELLINGTON","","","A","2023-06-01","809900.00","2023-06-01","",""
"RX-10895780","73414404010630180","1176 Staghorn Street","","3570.00","47","4640.00","949999.00","2023-06-04","","","","","","","SUGAR POND MANOR OF WELLINGTON","","","A","2023-06-08","974999.00","","",""
"RX-10900089","73414404010440080","13696 Exotica Lane","","2172.00","19","3183.00","690000.00","2023-06-25","","","","","","","SUGAR POND MANOR OF WELLINGTON","","","A","2023-07-02","690000.00","2023-07-02","",""
"FX-10375459","73414413080000770","10505 Pisa Road","","3254.00","100","4804.00","1324900.00","2023-04-12","","","","","","","Castellina","","N","A","2023-04-12","1399000.00","","",""
"RX-10902513","73424407050010840","8849 Via Brilliante","","3064.00","14","3718.00","779000.00","2023-07-07","","","","","","","BUENA VIDA","","","A","2023-07-07","779000.00","","",""
"RX-10877991","73424407050021760","9389 Via Grande W","","2364.00","113","3036.00","679000.00","2023-03-30","","","","","","","BUENA VIDA","","N","A","2023-03-31","689000.00","","",""
"RX-10896536","73424417050006170","2936 S Rio Claro Drive S","","2001.00","40","2687.00","729000.00","2023-06-11","","","","","","","Villagewalk","","","A","2023-06-12","729000.00","","",""
"FX-10389766","73424417020007360","9774 Scribner Lane","","2888.00","7","","799000.00","2023-07-14","","","","","","","Olympia 02","","N","A","2023-07-15","799000.00","2023-07-15","",""
"RX-10895822","73414403170090170","13130 Wax Wing Terrace","","1510.00","27","2107.00","555000.00","2023-06-08","","","","","","","EMERALD FOREST OF WELLINGTON","","","A","2023-07-17","555000.00","","","2023-07-17"
"RX-10775291","73414417010770080","14775 Equestrian Way","","9544.00","525","35785.00","21500000.00","2022-02-07","","","","","","","SADDLE TRAIL PARK OF WELLINGTON","","N","A","2023-07-01","22500000.00","2022-02-11","",""
"RX-10896436","73414418010050010","15475 Emmelman Road","","3767.00","20","5664.00","2200000.00","2023-06-11","","","","","","","WELLINGTON AERO CLUB OF THE LANDINGS AT WELLINGTON","","","A","2023-07-01","2200000.00","2023-07-01","",""
"RX-10891241","73414417010770110","14883 Equestrian Way","","4710.00","62","11714.00","8395000.00","2023-05-20","","","","","","","SADDLE TRAIL PARK OF WELLINGTON","","","A","2023-05-20","8395000.00","","",""
"RX-10887174","73414427000005030","12126 Indian Mound Road","","2668.00","78","16786.00","6500000.00","2023-05-04","","","","","","","Palm Glade Ranches Unrec","","N","A","2023-05-04","6500000.00","","",""
"RX-10821488","73414414440000160","2698 Sheltingham Drive","","8033.00","354","9687.00","6900000.00","2022-08-01","","","","","","","KENSINGTON","","N","A","2022-11-01","6900000.00","","",""
"RX-10682715","73414427000007090","4939 S 125th Avenue S","","6692.00","924","20244.00","10000000.00","2021-01-07","","","","","","","WELLINGTON RESERVE","","N","A","2023-01-09","6200000.00","","",""
"RX-10871515","73414426050000640","4693 Sugar Beach Way","","3280.00","133","4467.00","1200000.00","2023-03-04","","","","","","","ISLES AT WELLINGTON 4","","N","A","2023-03-10","1200000.00","2023-03-10","",""
"RX-10867906","73414426030001050","4391 Mariners Cove Drive","","3375.00","150","4471.00","850000.00","2023-02-21","","","","","","","ISLES AT WELLINGTON 2","","N","A","2023-02-21","875000.00","","",""
"RX-10891178","73414411010290200","1618 The 12 Fairway","","2253.00","63","3338.00","790000.00","2023-05-19","","","","","","","SOUTH SHORE 2 OF WELLINGT","","","A","2023-05-19","790000.00","","",""
"RX-10780679","73414420180000010","3601 Grand Prix Farms Drive","","1500.00","506","9891.00","9250000.00","2022-03-02","","","","","","","GRAND PRIX VILLAGE SOUTH","","N","A","2022-03-02","9250000.00","","",""
"RX-10804568","73414434010030030","5121 Lasso Way","","5267.00","409","9782.00","9500000.00","2022-05-30","","","","","","","WELLINGTON PRESERVE","","N","A","2022-09-30","11500000.00","","","2022-09-29"
"RX-10868724","73414414240000140","2289 Golf Brook Drive","","4452.00","147","6032.00","6195000.00","2023-02-24","","","","","","","BROOKSIDE 2","","N","A","2023-02-24","6195000.00","","",""
"RX-10897834","73414426030000790","4460 Mariners Cove Drive","","2623.00","35","3551.00","774000.00","2023-06-16","","","","","","","ISLES AT WELLINGTON 2","","","A","2023-06-16","824900.00","","",""
"AX-11335135","73414406020000070","17248 Gulf Pine Circle","","3216.00","169","4531.00","1375000.00","2023-02-02","","","","","","","BINKS FOREST - LANDINGS","","N","A","2023-04-06","1475000.00","","",""
"RX-10883991","73414417010710060","2389 King Terrace Terrace","","3256.00","88","4892.00","8500000.00","2023-04-24","","","","","","","SADDLE TRAIL PARK OF WELLINGTON","","N","A","2023-04-24","8500000.00","","",""
"RX-10880069","73414415070000580","2571 Players Court","","2390.00","105","3169.00","2750000.00","2023-04-07","","","","","","","EAGLES LANDING OF P B POLO & COUNTRY CLUB WELLINGTON","","N","A","2023-04-07","2750000.00","","",""
